Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2006,Nigeria,South East,Sugarcane,-3.57,1402.97,5.49,2.67,10,19.17,4.38,12.02,44.12,Water Management,1100.44,1.8702625307159986,7.2470592168361,7.00437369358312,-0.49261360962889716,-0.7478991596638656,-0.5238830618252097,3.745128600155195,12.7449,1946.5743999999997,-0.5330827884159074,1.4276070637943195,1.5873015873015874,Very Cold,Very Wet,Very Cold-Very Wet,7,25,7,4,5,4,34,0
1997,France,Grand Est,Coffee,34.36,518.11,13.11,2.4,3,70.38,20.54,27.25,80.47,Water Management,820.55,2.6468837658647226,6.252115806758594,6.71119279989784,5.433946483181139,0.06984866123399301,0.07703386978651695,2.5355071826153006,1180.6096,6475.4209,0.1348143468259501,0.9067266311242544,0.5266067726330339,Very Hot,Dry,Very Hot-Dry,5,3,1,4,6,0,36,0
1993,Russia,Northwestern,Vegetables,19.09,1505.86,14.22,4.29,3,12.49,10.95,32.76,54.92,Drought-resistant Crops,1201.8,2.7226103524335397,7.317783294510113,7.092407451114374,2.6087134903709903,0.2247249869041383,0.14261971463769196,2.6050027484744547,364.4281,3016.2064,0.1492336518030483,1.5756937073883843,0.5238461538461539,Mild,Very Wet,Mild-Very Wet,8,13,8,1,3,4,22,0
2003,USA,Northeast,Barley,14.7,2272.28,11.45,2.5,9,57.37,19.48,46.13,77.32,Drought-resistant Crops,1126.27,2.5217206229107165,7.7289790014836415,7.0275540594369925,1.901932971635479,0.17006802721088435,0.1715456206061712,2.7868091316655774,216.08999999999997,5978.382399999999,0.07484466140215304,0.9913865863199209,1.480638809888427,Very Cold,Extremely Wet,Very Cold-Extremely Wet,9,11,0,1,5,1,31,0
1999,Nigeria,North West,Soybeans,12.16,328.52,20.15,3.681,9,47.13,32.95,8.69,36.32,Drought-resistant Crops,894.31,3.051639905492287,5.797637050127825,6.797170027018144,2.097406218233668,0.3027138157894737,0.2509572290700894,2.2273827310963914,147.8656,1319.1424,0.9214471441296533,1.2062366838810181,1.4514355528405618,Very Cold,Very Dry,Very Cold-Very Dry,7,10,6,1,5,3,33,0
1990,France,Grand Est,Soybeans,15.23,1468.76,5.41,3.12,5,62.01,2.49,27.56,76.44,Drought-resistant Crops,1524.34,1.8578592709325787,7.292854401137428,7.329972615011344,2.088345545144115,0.20485883125410376,0.12198682015315684,3.9453863539039533,231.9529,5843.0736,0.13947740356089744,1.679352170971417,0.8776779543883898,Cold,Very Wet,Cold-Very Wet,5,3,6,1,0,4,4,0
2018,Brazil,North,Barley,20.83,2639.04,6.01,3.64,10,52.71,28.15,61.34,88.14,Drought-resistant Crops,521.59,1.9473377010464987,7.87854934754073,6.258797217809672,2.6438877363257274,0.17474795967354778,0.09348716759704748,3.214027651416699,433.8888999999999,7768.6596,0.06621648769004933,1.8692186763722929,1.6603295310519646,Mild,Extremely Wet,Mild-Extremely Wet,2,8,0,1,3,1,19,0
2017,Nigeria,North West,Coffee,21.95,2480.33,11.71,1.37,10,84.04,19.86,21.74,78.53,Crop Rotation,571.98,2.542389085201363,7.816549985729346,6.350850812091618,2.808144263143465,0.062414578587699325,0.11582638201372952,2.4979853984814513,481.80249999999995,6166.9609,0.02516382037378064,0.538863232215101,1.6127061698228466,Moderate,Extremely Wet,Moderate-Extremely Wet,7,10,1,0,4,1,25,0
1997,Brazil,Northeast,Rice,17.45,1634.32,29.55,2.754,5,29.84,48.57,3.21,30.68,No Adaptation,1323.81,3.4193646856176043,7.399593782835391,7.1890243319116856,2.358237561699431,0.15782234957020058,0.19595213098095154,2.1024444576356167,304.5025,941.2624,0.0965675935986836,0.8054127749472776,0.8225771166046817,Cool,Very Wet,Cool-Very Wet,2,11,5,2,1,4,10,0
2015,Russia,Siberian,Cotton,19.2,1086.11,23.38,3.987,4,47.81,29.58,24.76,82.85,Organic Farming,1805.57,3.1937631240531257,6.991278077953407,7.499185298799055,2.746278975877972,0.20765625000000001,0.16634182937776698,2.3480718536451834,368.64,6864.1224999999995,0.19119265083647147,1.2483706039351463,0.6905263157894737,Mild,Moderate,Mild-Moderate,8,23,3,3,3,2,20,0
2000,Australia,New South Wales,Rice,30.08,1641.99,15.83,3.096,2,94.75,13.7,42.84,73.56,Organic Farming,345.85,2.8231630082027146,7.404273031591479,5.84889240983131,4.0625190172835355,0.10292553191489362,0.09385515319822856,2.071751575391617,904.8063999999999,5411.073600000001,0.06268340971314906,1.0966423090004211,0.34285714285714286,Very Hot,Very Wet,Very Hot-Very Wet,1,7,5,3,6,4,40,0
2016,India,West Bengal,Soybeans,14.0,1240.49,29.18,4.032000000000001,9,29.32,37.8,98.93010000000001,46.32,No Adaptation,1745.39,3.407179453339703,7.124067550143328,7.465306079154292,1.9651694627345773,0.2880000000000001,0.24336996095283592,2.1910516253662045,196.0,2145.5424,0.23216632137300589,1.1833835156665586,1.5325255102040816,Very Cold,Wet,Very Cold-Wet,6,32,6,2,5,5,35,0
1996,Argentina,Northwest,Coffee,21.59,666.95,28.44,1.584,10,41.15,18.3,85.97,35.89,Drought-resistant Crops,384.91,3.3823542938606757,6.504213320435821,5.955604181656906,3.319386824562719,0.07336729967577582,0.15666300573694653,1.760786619091603,466.1281,1288.0921,0.11000419772962865,0.4683128561886981,1.6282135794330916,Moderate,Dry,Moderate-Dry,0,12,1,1,4,0,24,0
2010,Australia,Victoria,Coffee,20.85,2294.81,8.66,2.82,3,39.88,29.31,79.91,59.92,Drought-resistant Crops,1222.94,2.2679936482244267,7.73884100140203,7.109830442262928,2.6942018832306607,0.13525179856115105,0.10877667377575187,3.134854653507999,434.7225000000001,3590.4064000000003,0.058938124969453276,1.243389725631608,0.493891797556719,Mild,Extremely Wet,Mild-Extremely Wet,1,29,1,1,3,1,19,0
2002,France,Nouvelle-Aquitaine,Vegetables,20.22,230.34459999999999,16.61,2.628,5,34.96,16.61,72.55,72.74,Water Management,317.95,2.8684669225081145,5.4439083468119955,5.765034350687964,3.7230337640291977,0.12997032640949557,0.1418628547234478,2.0097963499077633,408.84839999999997,5291.107599999999,0.5715745037578415,0.9161688354775044,0.8377659574468085,Mild,Very Dry,Mild-Very Dry,5,14,8,4,3,3,21,0
1996,USA,South,Soybeans,27.73,1673.81,26.56,3.285,1,88.61,29.11,27.82,96.4,No Adaptation,1492.19,3.3163654461454577,7.423455004989355,7.308670049991483,3.735457409166281,0.11846375766318068,0.11959485921909331,2.2038192619833854,768.9529,9292.960000000001,0.07077491331942137,0.990542222606404,0.16924803591470258,Very Hot,Very Wet,Very Hot-Very Wet,9,24,6,2,6,4,40,0
2021,Canada,Quebec,Fruits,-0.57,2124.21,7.63,1.48,4,32.79,42.52,85.46,88.57,No Adaptation,432.78,2.1552445050953364,7.661625900005205,6.072537493134461,-0.07439674129738084,-2.5964912280701755,-3.781130710693573,2.817563148300821,0.32489999999999997,7844.644899999998,-1.2223326451105,0.6866970297342355,0.6520198440822111,Very Cold,Extremely Wet,Very Cold-Extremely Wet,3,21,4,2,5,1,31,1
2011,Brazil,Southeast,Corn,15.75,1433.31,11.91,2.08,6,79.2,25.19,67.56,55.03,Organic Farming,933.72,2.558002204858551,7.268439176317974,6.840247019199376,2.166902634518377,0.13206349206349208,0.16241283840371754,2.674058296825283,248.0625,3028.3009,0.09213881997857551,0.8131345610450782,1.042857142857143,Cold,Very Wet,Cold-Very Wet,2,27,2,3,0,4,4,0
1999,Argentina,Northeast,Fruits,18.62,576.51,7.29,4.53,3,33.33,1.59,98.93010000000001,65.14,Organic Farming,1100.96,2.115049969147204,6.358725758263344,7.004845691413431,2.928259640039167,0.24328678839957035,0.11359022390693897,3.311905531119821,346.7044,4243.2196,0.42199925135655997,2.1417933694618636,0.49354626996280904,Cool,Dry,Cool-Dry,0,11,4,3,1,0,6,0
1997,Australia,Victoria,Wheat,31.67,2364.58,13.16,3.33,4,72.38,48.77,12.25,94.46,Drought-resistant Crops,1244.49,2.6504210882655737,7.768778513987817,7.127284305765949,4.076573935397647,0.10514682664982633,0.08368869871378508,2.6891139439393834,1002.9889000000001,8922.691599999998,0.0444674431187891,1.2564041294204842,0.6585223967422921,Very Hot,Extremely Wet,Very Hot-Extremely Wet,1,29,9,1,6,1,37,0
1995,Canada,Quebec,Cotton,16.52,2025.11,19.6,4.338,10,35.12,21.71,82.16,85.71,No Adaptation,829.0,3.0252910757955354,7.613872977510469,6.721425700790643,2.1697236148798473,0.26259079903147703,0.18312899974549246,2.2217451254746345,272.9104,7346.204099999999,0.1296674249949272,1.4339116109213632,1.630049610205528,Cold,Extremely Wet,Cold-Extremely Wet,3,21,3,2,0,1,1,0
2018,Canada,Prairies,Fruits,31.98,609.15,11.39,2.33,0,77.23,34.58,85.28,40.44,Drought-resistant Crops,928.74,2.5168896956410514,6.413704828577848,6.834904977167881,4.986197658723738,0.07285803627267042,0.07870199173361636,2.7156156223314474,1022.7204,1635.3935999999999,0.11960606791869068,0.9257457742527526,0.0,Very Hot,Dry,Very Hot-Dry,3,18,4,1,6,0,36,0
2002,Canada,Prairies,Soybeans,1.92,541.99,1.31,0.71,10,15.47,33.16,80.93,51.13,No Adaptation,251.0,0.8372475245337022,6.297090903558093,5.529429087511423,0.304902697039855,0.3697916666666667,0.43606641902796994,6.604294340065073,3.6864,2614.2769000000003,0.6822850360092745,0.8480168399368255,1.600790513833992,Very Cold,Dry,Very Cold-Dry,3,18,6,2,5,0,30,0
2024,Canada,Ontario,Barley,4.99,2697.15,28.86,2.619,10,41.07,39.69,31.4,65.11,No Adaptation,657.71,3.3965197921110444,7.900321631960584,6.490283376949355,0.631619854540233,0.5248496993987977,0.6806652890002093,1.9108628167055193,24.900100000000002,4239.3121,0.19459418252555385,0.771083391323979,1.6739265712507778,Very Cold,Extremely Wet,Very Cold-Extremely Wet,3,15,0,2,5,1,31,0
2004,China,East,Rice,-0.5,2892.43,18.33,1.593,7,34.21,13.13,81.9,77.07,Drought-resistant Crops,776.0,2.9616582932202395,7.970197928566429,6.655440350367647,-0.06273369927337968,-3.186,-5.923316586440479,2.247200619194702,0.25,5939.784899999999,-1.101495973973441,0.537874340077199,1.1803582458307598,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,2,5,1,5,1,31,1
1999,China,South,Vegetables,5.46,751.6,21.25,0.55,2,36.9,15.6,35.02,70.14,Organic Farming,140.36,3.1023420086122493,6.623533878159337,4.951309828011441,0.8243333695331411,0.09890109890109891,0.5681945070718405,1.5959909688443017,29.8116,4919.6196,0.1315874120557463,0.1848153884773894,0.33849607182940517,Very Cold,Dry,Very Cold-Dry,4,24,8,3,5,0,30,0
2015,Brazil,North,Sugarcane,14.69,804.11,23.52,4.248,1,75.67,1.73,78.02,49.8,No Adaptation,1581.37,3.1994891110680106,6.690978914046087,7.366679002144748,2.195493393225602,0.2891763104152485,0.21780048407542618,2.30245478150282,215.7961,2480.0399999999995,0.35962282575176097,1.3277119729224487,0.16603295310519645,Very Cold,Moderate,Very Cold-Moderate,2,8,7,2,5,2,32,0
2008,Brazil,North,Fruits,5.64,2780.22,20.22,0.55,5,81.71,27.63,15.3,39.42,Drought-resistant Crops,205.93,3.054944133185837,7.930644959339522,5.332380571823737,0.7111653628319416,0.08457446808510638,0.5416567612031626,1.7454920088057009,31.809599999999996,1553.9364,0.030420063191080704,0.1848153884773894,0.8301647655259823,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,8,4,1,5,1,31,0
2005,Brazil,Southeast,Cotton,33.17,1910.34,14.43,1.28,5,97.01,12.87,67.32,38.04,Crop Rotation,177.43,2.7363136663750693,7.555559845735638,5.184196367443337,4.390144566020633,0.03858908652396744,0.08249362877223604,1.8945914100232155,1100.2489,1447.0416,0.020200114390091523,0.46778262877138627,0.8690476190476191,Very Hot,Extremely Wet,Very Hot-Extremely Wet,2,27,3,0,6,1,37,0
1998,Argentina,Pampas,Soybeans,0.15,1838.65,17.36,2.232,8,11.62,9.55,80.77,89.48,Crop Rotation,687.85,2.9101743851923443,7.517330615118104,6.535023540490608,0.01995389157134249,4.071044117647071,6.390798667365405,2.245577987952321,0.0324,8006.670400000001,3.8187600637369914,0.7669643480325249,1.3504144687264505,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,16,6,0,5,1,31,2
2020,Australia,Western Australia,Sugarcane,17.77,1743.11,13.69,1.69,2,23.95,39.15,67.61,42.34,Water Management,440.49,2.6871669901857858,7.463999675874377,6.090155369730873,2.3807610894514566,0.09510410804727068,0.151219301642419,2.2663851528296015,315.7729,1792.6756000000003,0.054560015172462256,0.6289151385724474,0.3242446573323508,Cool,Extremely Wet,Cool-Extremely Wet,1,33,7,4,1,1,7,0
2019,Russia,Volga,Vegetables,11.53,2654.03,3.98,2.88,9,59.71,24.21,79.19,36.95,Organic Farming,1018.44,1.6054298910365616,7.884211233047229,6.927008735904024,1.4624164243179063,0.24978317432784042,0.1392393660916359,4.31473761300877,132.9409,1365.3025000000002,0.09411467629523419,1.7939120332065697,1.538310412573674,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,30,8,3,5,1,31,0
1994,Russia,Northwestern,Cotton,19.82,2369.04,17.3,3.024,7,60.14,8.3,87.68,65.87,Drought-resistant Crops,1438.48,2.9069010598473755,7.770662111623882,7.272037216242618,2.550619202751321,0.1525731584258325,0.1466650383374054,2.5016459337712824,392.8324,4338.856900000001,0.06440294736510675,1.0402830841992168,1.2223076923076923,Mild,Extremely Wet,Mild-Extremely Wet,8,13,3,1,3,1,19,0
2019,Argentina,Pampas,Rice,2.33,839.77,25.67,2.0160000000000005,5,18.4,8.92,70.37,82.21,Organic Farming,524.89,3.283539338193923,6.734318138621712,6.265092065392643,0.3459890002281467,0.8652360515021461,1.40924435115619,1.9080301528650767,5.4289000000000005,6758.484099999999,1.0303250312611145,0.6139716301096245,0.8440090429540316,Very Cold,Moderate,Very Cold-Moderate,0,16,5,3,5,2,32,0
1991,Brazil,Northeast,Cotton,29.06,566.0,4.34,2.41,4,98.36,39.57,98.93010000000001,44.66,No Adaptation,1067.25,1.6752256529721035,6.340359303727752,6.9737770745241345,4.583336465319001,0.08293186510667586,0.05764713189855828,4.162888182945146,844.4835999999999,1994.5155999999997,0.14652272987045203,1.4386121629192437,0.6580616932837454,Very Hot,Dry,Very Hot-Dry,2,11,3,2,6,0,36,0
2024,USA,South,Wheat,12.18,1647.58,19.1,1.872,8,36.61,43.15,22.46,52.18,Water Management,925.79,3.0007198150650303,7.40766959030002,6.831727002685596,1.6442418025702865,0.1536945812807882,0.24636451683620939,2.2766960675192336,148.3524,2722.7524,0.09328504915135422,0.6238503143817947,1.3539842873176207,Very Cold,Very Wet,Very Cold-Very Wet,9,24,9,4,5,4,34,0
1998,Brazil,South,Rice,28.86,1970.45,13.89,1.93,2,41.49,16.31,94.79,55.36,Drought-resistant Crops,763.3,2.7006898466959175,7.586524591596127,6.638960382248838,3.8041134186751715,0.06687456687456687,0.09357899676701031,2.4582461367680137,832.8996,3064.7296,0.03393872814563519,0.7146322271552965,0.33849607182940517,Very Hot,Extremely Wet,Very Hot-Extremely Wet,2,24,5,1,6,1,37,0
2022,China,South,Barley,6.49,2719.06,23.76,0.873,10,40.98,38.94,77.96,76.68,Organic Farming,118.24,3.209229447816395,7.90840921787028,4.781138268809871,0.8206454447671773,0.1345146379044684,0.49448835867741064,1.4908875512892326,42.1201,5879.822400000001,0.04947100759250196,0.27202791641900254,1.6924803591470259,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,0,3,5,1,31,0
2015,Argentina,Northwest,Rice,4.45,900.63,18.26,0.855,2,18.34,35.77,77.36,58.2,Organic Farming,351.14,2.9580304063699794,6.8042042363512305,5.864028823798298,0.6540074115097877,0.19213483146067414,0.6647259340157257,1.9824099208616612,19.802500000000002,3387.2400000000002,0.21333381239873664,0.2890436819576965,0.3256427158866183,Very Cold,Moderate,Very Cold-Moderate,0,12,5,3,5,2,32,0
2007,Brazil,Southeast,Soybeans,10.27,2913.02,29.03,1.584,1,80.98,25.2,92.15,90.27,No Adaptation,476.68,3.402196881995239,7.977288850149579,6.168941052238737,1.2874048054317893,0.1542356377799416,0.33127525627996485,1.813222828133604,105.4729,8148.6729,0.05294698895989097,0.4655815212760567,0.1738095238095238,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,27,6,2,5,1,31,0
2002,China,South,Sugarcane,8.88,947.14,20.78,2.241,2,96.9,41.57,56.67,54.44,Crop Rotation,600.91,3.0809921175048145,6.854502170676398,6.4001079324712045,1.295498896767251,0.25236486486486487,0.3469585717910827,2.077287993081405,78.85440000000001,2963.7135999999996,0.26644937904097055,0.7273631072496564,0.33849607182940517,Very Cold,Moderate,Very Cold-Moderate,4,24,7,0,5,2,32,0
2007,India,West Bengal,Vegetables,27.45,784.04,5.55,2.6,6,89.47,28.15,86.71,33.12,Water Management,308.77,1.8794650496471605,6.665734671898238,5.7358300866249765,4.118075703751783,0.0947176684881603,0.06846867211829365,3.051841846009207,753.5024999999999,1096.9343999999999,0.12080718903137634,1.3833723593253882,1.0216836734693877,Very Hot,Dry,Very Hot-Dry,6,32,8,4,6,0,36,0
1992,Canada,Quebec,Sugarcane,10.05,1945.3,14.37,3.13,6,52.24,35.28,77.08,69.99,Crop Rotation,1307.17,2.7324175575505043,7.573685413248529,7.176384492990811,1.3269629581418438,0.3114427860696517,0.27188234403487604,2.626386466138848,101.00250000000001,4898.6001,0.16010013163504433,1.145505741372088,0.9780297661233167,Very Cold,Extremely Wet,Very Cold-Extremely Wet,3,21,7,0,5,1,31,0
2016,India,Maharashtra,Cotton,-2.28,2300.89,15.29,1.944,7,28.39,1.51,83.17,63.31,Organic Farming,725.01,2.790551422613954,7.741485803604924,6.5875637888346175,-0.29451710664357067,-0.8526315789473685,-1.22392606254998,2.3606674062518946,5.1983999999999995,4008.1561,-0.3705659892247646,0.6966365085575181,1.245571658615137,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,5,3,3,5,1,31,0
2013,India,Punjab,Cotton,9.95,1210.23,1.43,2.88,4,45.61,30.89,34.09,69.29,Crop Rotation,686.14,0.8878912573524571,7.099391651200748,6.532538056031691,1.4015285377750806,0.2894472361809045,0.0892353022464781,7.35736274226939,99.00249999999998,4801.1041000000005,0.2391671303643973,3.2436404527595837,0.7133126934984519,Very Cold,Wet,Very Cold-Wet,6,20,3,0,5,5,35,0
2013,Canada,Quebec,Cotton,32.58,2162.09,6.84,3.91,5,63.51,32.3,94.56,97.57,Drought-resistant Crops,1713.71,2.0592388343623163,7.679293033963994,7.446999249091752,4.242578041481827,0.12001227747084102,0.06320561185888018,3.6163844255578352,1061.4563999999998,9519.9049,0.05550753089410755,1.898759840167257,0.815024805102764,Very Hot,Extremely Wet,Very Hot-Extremely Wet,3,21,3,1,6,1,37,0
2016,Argentina,Northwest,Coffee,20.28,571.36,28.17,1.269,8,63.71,39.88,65.56,30.68,Water Management,575.19,3.37314078387963,6.349768164038534,6.356437467414787,3.193817392397782,0.06257396449704142,0.16632844101970562,1.8844269701971668,411.27840000000003,941.2624,0.10951757997942001,0.3762072446144554,1.3025708635464732,Mild,Dry,Mild-Dry,0,12,1,4,3,0,18,0
2008,France,Ile-de-France,Soybeans,11.3,2304.13,24.41,3.798,8,58.59,18.34,48.92,91.66,Drought-resistant Crops,748.93,3.2351427973320726,7.7428923529726985,6.619979868841196,1.4594029575603793,0.3361061946902655,0.2862958227727498,2.046271303480174,127.69000000000001,8401.5556,0.14587119419922723,1.1739821819092806,1.3333333333333333,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,4,6,1,5,1,31,0
1992,France,Ile-de-France,Coffee,-2.68,996.46,28.51,2.4480000000000004,10,13.14,14.9,73.25,72.99,Crop Rotation,821.16,3.3847291889548483,6.905212047709355,6.711935023316817,-0.3881126287626501,-0.9134328358208956,-1.2629586525950927,1.9830050348546078,7.182400000000001,5327.540099999999,-0.9166778755001661,0.723248408761442,1.6666666666666667,Very Cold,Moderate,Very Cold-Moderate,5,4,1,0,5,2,32,0
1998,India,Punjab,Sugarcane,16.81,689.7,8.01,3.22,10,40.5,29.23,5.94,97.76,No Adaptation,1036.85,2.1983350716202463,6.537705576094927,6.9449065446129294,2.571238457336721,0.19155264723378942,0.13077543555147214,3.1591665139083194,282.57609999999994,9557.017600000001,0.277733285825416,1.4647448614950007,1.7461538461538462,Cold,Dry,Cold-Dry,6,20,7,2,0,0,0,0
2023,USA,Northeast,Cotton,30.62,1630.22,29.28,3.249,9,70.31,5.8,49.85,31.92,Crop Rotation,509.77,3.410487428569248,7.397083480097293,6.2359193910319055,4.139469303325648,0.10610711952971914,0.11138103946992971,1.828454003024421,937.5844000000001,1018.8864000000001,0.06508760751905825,0.9526497511128507,1.480638809888427,Very Hot,Very Wet,Very Hot-Very Wet,9,11,3,0,6,4,40,0
2014,Canada,Prairies,Coffee,23.46,269.7,24.08,1.809,5,52.5,35.34,79.04,91.9,No Adaptation,387.08,3.22207071576472,5.601011196620256,5.961211503936961,4.188529388078381,0.07710997442455242,0.13734316776490707,1.850118147553487,550.3716000000001,8445.61,0.2859101758418703,0.5614401915976123,0.800395256916996,Warm,Very Dry,Warm-Very Dry,3,18,1,2,7,3,45,0
1999,Australia,Victoria,Barley,1.33,305.9,15.74,1.566,3,17.42,10.26,47.41,50.39,No Adaptation,505.46,2.8178010650613294,5.72652196162569,6.227445347223684,0.23225266731054833,1.1774436090225564,2.1186474173393455,2.210037260770268,1.7689000000000001,2539.1521000000002,3.8187600637369914,0.5557525048227335,0.493891797556719,Very Cold,Very Dry,Very Cold-Very Dry,1,29,0,2,5,3,33,2
2021,USA,Northeast,Fruits,23.3,1740.68,25.99,0.747,10,44.5,4.74,20.44,60.39,No Adaptation,372.06,3.295466427029913,7.462605443637991,5.921739264616416,3.122233940407995,0.03206008583690987,0.14143632734033962,1.7969350912045157,542.89,3646.9521,0.018418138794557223,0.22667504480488507,1.6451542332093634,Warm,Extremely Wet,Warm-Extremely Wet,9,11,4,2,7,1,43,0
